complaint_text,category,priority
a digital display near the library entrance showing available books would help please help,Library,Low
it would be nice if the canteen had a quiet section for eating alone,Cafeteria / Food,Low
the cafeteria wifi is very weak and doesnt work inside i need help with this,Cafeteria / Food,Low
i want to know what the university policy is if someone harasses a student no one has responded yet,Harassment,Low
hostel wifi goes off every night and i cant study no one has responded yet,Hostel,Medium
hi the portal should show which assignments have been graded already,IT / Portal,Low
the canteen is very unhygienic tables are never wiped between customers it has been ignored for too long,Cafeteria / Food,Medium
teacher covers too much in one class and does not check if we understand,Academics / Faculty,Medium
a group of students physically pushed me near the parking area please look into this,Harassment,High
the syllabus was never shared at the start of the semester,Academics / Faculty,Medium
my final result shows fail but i passed all my assessments please look into this,Academics / Faculty,High
urgent a rat was seen running across the food counter in the cafeteria,Cafeteria / Food,High
the paint in the hostel rooms is very old and peeling it has been ignored for too long,Hostel,Low
i was marked as expelled by mistake and i have not been to any hearing please look into this,Administration,High
the library system deleted all my saved research and thesis deadline is tomorrow kindly resolve this,Library,High
urgent found broken plastic in my rice from the main canteen,Cafeteria / Food,High
a senior student keeps pressuring me to do things i am not comfortable with please look into this,Harassment,Medium
i need a bonafide letter urgently but the office says it will take 2 weeks i need help with this,Administration,Medium
hi a grab and go option would be useful for students between classes,Cafeteria / Food,Low
a classmate records me during lectures without my knowledge or permission this needs to be fixed,Harassment,Medium
the bus skips our stop sometimes without any explanation please help,Transport,Medium
urgent there was a small fire near the library electrical board and no one responded,Library,High
the admin office shared my personal information with someone outside the university this needs to be fixed,Administration,High
my fee payment is confirmed but the system still shows outstanding balance,Administration,Medium
students in the common room are very loud and disrespectful to others i need help with this,Harassment,Low
someone keeps leaving offensive notes on my desk anonymously it has been ignored for too long,Harassment,Medium
the bus broke down at night in an empty area and we were stranded no one has responded yet,Transport,High
there should be an anonymous way to report harassment on campus please look into this,Harassment,Low
the canteen near block b is always closed even during official hours this needs to be fixed,Cafeteria / Food,Medium
office hours should be extended at least during exam registration period i need help with this,Administration,Low
hi my group members are excluding me from everything and not sharing project work,Harassment,Medium
hi library wifi keeps disconnecting every few minutes,Library,Medium
not enough seats in the library during exam season it has been ignored for too long,Library,Medium
teacher should use more examples to explain difficult topics it has been ignored for too long,Academics / Faculty,Low
the wrong exam was given to our class and our result is now in question i need help with this,Academics / Faculty,High
found a cockroach inside my food at the canteen no one has responded yet,Cafeteria / Food,High
the queue at the admin office is very disorganized no one has responded yet,Administration,Low
more variety of books related to our new courses should be added please look into this,Library,Low
library wifi keeps disconnecting every few minutes it has been ignored for too long,Library,Medium
bus seats are very uncomfortable and need to be replaced please help,Transport,Low
the transport service was completely cancelled today with no notice it has been ignored for too long,Transport,High
a student was attacked in the hostel corridor and security did nothing,Hostel,High
i received racist abuse from a classmate and when i reported it nothing happened kindly resolve this,Harassment,High
the bus stop near the hostel has no shade or shelter i need help with this,Transport,Low
same food is being served every day for the past week it has been ignored for too long,Cafeteria / Food,Medium
hi the brakes of the university van made a loud noise and felt like they failed,Transport,High
my grade was changed without any reason and i never received an explanation i need help with this,Academics / Faculty,High
teacher covers too much in one class and does not check if we understand it has been ignored for too long,Academics / Faculty,Medium
there has been no electricity in my hostel block for 2 days,Hostel,High
there is no way to track the status of a complaint on the portal no one has responded yet,IT / Portal,Low
the portal is very slow and takes forever to load any page no one has responded yet,IT / Portal,Medium
there should be a live tracker for the university bus please help,Transport,Low
it would be helpful if the canteen showed the daily menu online please help,Cafeteria / Food,Low
teacher covers too much in one class and does not check if we understand please look into this,Academics / Faculty,Medium
it would help if admin sent updates when documents are ready for pickup this needs to be fixed,Administration,Low
i received racist abuse from a classmate and when i reported it nothing happened i need help with this,Harassment,High
attendance on the portal doesnt match what the teacher marked please help,IT / Portal,Medium
a teacher is forcing students to buy his own book or he deducts marks kindly resolve this,Academics / Faculty,High
hi a complaint or feedback option for transport would be useful,Transport,Low
the syllabus was never shared at the start of the semester this needs to be fixed,Academics / Faculty,Medium
the bus is in very bad condition with broken seats and windows it has been ignored for too long,Transport,Medium
teacher should share a reading list at the start of the course this needs to be fixed,Academics / Faculty,Low
the canteen near block b is always closed even during official hours kindly resolve this,Cafeteria / Food,Medium
the portal doesnt work on my phone at all only on laptop i need help with this,IT / Portal,Medium
the notice board at the admin block is never updated kindly resolve this,Administration,Low
more charging points are needed in the library no one has responded yet,Library,Low
more power sockets are needed in the hostel rooms please look into this,Hostel,Low
extra bus trips should be added during exams i need help with this,Transport,Low
the admin office should have a separate window for urgent requests please help,Administration,Low
the portal logs out automatically even during active use kindly resolve this,IT / Portal,Low
chunks of the library ceiling fell onto the study tables this morning please help,Library,High
i need a bonafide letter urgently but the office says it will take 2 weeks,Administration,Medium
teacher gives assignments without clear instructions on what is expected,Academics / Faculty,Low
library should stay open later during exams,Library,Low
the ac in the library has not worked for a week its too hot to study,Library,Medium
a classmate makes rude comments about my background every day please help,Harassment,Medium
hi there is no water in the hostel since yesterday and we cant even wash,Hostel,High
found a cockroach inside my food at the canteen i need help with this,Cafeteria / Food,High
hostel room was given to two students and there is a conflict it has been ignored for too long,Hostel,Medium
hi there are no vegetarian options available at the cafeteria,Cafeteria / Food,Medium
the bus route was changed and we were not informed,Transport,Medium
a student in my hostel is threatening me and the warden is not helping please help,Hostel,High
the kitchen staff are not wearing gloves and touching food with bare hands please look into this,Cafeteria / Food,High
my final year project file saved on the library computer was completely wiped this needs to be fixed,Library,High
there should be a clear list of required documents displayed at the office please help,Administration,Low
the kitchen staff are not wearing gloves and touching food with bare hands kindly resolve this,Cafeteria / Food,High
hi there should be more interaction in class instead of only lecture delivery,Academics / Faculty,Low
more charging points are needed in the library it has been ignored for too long,Library,Low
the van service was reduced from 3 trips to 1 without telling anyone this needs to be fixed,Transport,Medium
the forms at the admin office are outdated and confusing i need help with this,Administration,Low
the queue at the admin office is very disorganized please look into this,Administration,Low
teacher hasnt returned our assignments for over a week,Academics / Faculty,Medium
a group of students physically pushed me near the parking area this needs to be fixed,Harassment,High
curfew rules in the hostel are different for different students unfairly this needs to be fixed,Hostel,Medium
there should be a mobile app for the student portal i need help with this,IT / Portal,Low
someone else is logged into my student account and i dont know how this needs to be fixed,IT / Portal,High
there are no anti harassment posters anywhere on campus it has been ignored for too long,Harassment,Low
the admin staff gave me wrong information about the document requirements please help,Administration,Medium
prices went up suddenly with no notice and no explanation,Cafeteria / Food,Medium
lecture slides have very small text and are hard to read it has been ignored for too long,Academics / Faculty,Low
the bus was so overcrowded a student fell and got injured,Transport,High
study room booking in the library is very unfair some groups book all day i need help with this,Library,Medium
a teacher is forcing students to buy his own book or he deducts marks please help,Academics / Faculty,High
there is no way to track the status of a complaint on the portal please look into this,IT / Portal,Low
it would be helpful if lectures were recorded for revision it has been ignored for too long,Academics / Faculty,Low
my roommate in the hostel is constantly harassing me and the warden ignores it please help,Harassment,Medium
the portal should show which assignments have been graded already no one has responded yet,IT / Portal,Low
the paint in the hostel rooms is very old and peeling no one has responded yet,Hostel,Low
curfew rules in the hostel are different for different students unfairly it has been ignored for too long,Hostel,Medium
the admin office shared my personal information with someone outside the university kindly resolve this,Administration,High
the payment portal is showing my fees as unpaid even though i paid yesterday please look into this,IT / Portal,High
there is toxic mold in the library reading room and students are coughing please help,Library,High
my login is being used from another device and i never shared my password no one has responded yet,IT / Portal,High
my teacher failed me on purpose because i complained about him last semester it has been ignored for too long,Harassment,High
the portal should show which assignments have been graded already i need help with this,IT / Portal,Low
it would be nice if the teacher held an extra revision session before exams it has been ignored for too long,Academics / Faculty,Low
a student fainted in the library due to heat and no staff came to help no one has responded yet,Library,High
my fee payment is confirmed but the system still shows outstanding balance kindly resolve this,Administration,Medium
a classmate keeps making fun of me in front of everyone and it wont stop please help,Harassment,Medium
some students use offensive language in class and it makes me uncomfortable please help,Harassment,Low
mold is growing on the walls of my hostel room and i have breathing problems this needs to be fixed,Hostel,High
the cafeteria menu should have more variety kindly resolve this,Cafeteria / Food,Low
the portal should show which assignments have been graded already,IT / Portal,Low
urgent i have a disability and was denied extra time in the exam without reason,Academics / Faculty,High
hi the admin office never replies to emails or picks up the phone,Administration,Medium
urgent the library system deleted all my saved research and thesis deadline is tomorrow,Library,High
library should stay open later during exams please help,Library,Low
there should be an anonymous way to report harassment on campus this needs to be fixed,Harassment,Low
hi attendance on the portal doesnt match what the teacher marked,IT / Portal,Medium
the schedule shown at the stop does not match the actual timings kindly resolve this,Transport,Medium
a teacher always singles me out and humiliates me in class this needs to be fixed,Harassment,Medium
the library catalogue online is not updated with new arrivals please help,Library,Low
it would be helpful if the portal showed assignment deadlines on the home page please look into this,IT / Portal,Low
the pick up point near block a is too far for students with heavy bags kindly resolve this,Transport,Low
the university bus driver was driving very fast and it felt dangerous no one has responded yet,Transport,High
the library system deleted all my saved research and thesis deadline is tomorrow please help,Library,High
hi someone keeps leaving offensive notes on my desk anonymously,Harassment,Medium
my exam registration was rejected with no reason and finals are next week,Administration,High
cold food is being served as if it is freshly cooked,Cafeteria / Food,Medium
the hostel canteen closes too early and night students go hungry kindly resolve this,Hostel,Medium
urgent my thesis supervisor disappeared and is not responding since 3 weeks,Academics / Faculty,High
teacher uses very old examples that are not relevant to current topics i need help with this,Academics / Faculty,Low
the university bus driver was driving very fast and it felt dangerous kindly resolve this,Transport,High
my thesis supervisor disappeared and is not responding since 3 weeks i need help with this,Academics / Faculty,High
cold food is being served as if it is freshly cooked no one has responded yet,Cafeteria / Food,Medium
the warden is never available when we have a complaint please help,Hostel,Medium
my fee receipt is not generating even though payment was successful kindly resolve this,IT / Portal,Medium
multiple students got sick after eating from the hostel canteen yesterday please look into this,Cafeteria / Food,High
hi the lighting in some parts of the library is too dim,Library,Low
found a cockroach inside my food at the canteen it has been ignored for too long,Cafeteria / Food,High
there is no water in the hostel since yesterday and we cant even wash,Hostel,High
i missed a job application because the admin office delayed my transcript for 3 weeks please look into this,Administration,High
a student is spreading private photos of me without my permission no one has responded yet,Harassment,High
i need a bonafide letter urgently but the office says it will take 2 weeks no one has responded yet,Administration,Medium
the university should have more awareness sessions about bullying it has been ignored for too long,Harassment,Low
the hostel common room needs better furniture,Hostel,Low
my enrollment was cancelled without any warning and i found out from a friend no one has responded yet,Administration,High
a teacher is forcing students to buy his own book or he deducts marks it has been ignored for too long,Academics / Faculty,High
teacher leaves 30 minutes early and does not finish the lecture this needs to be fixed,Academics / Faculty,Medium
the book i need is always marked as available but i can never find it no one has responded yet,Library,Medium
the water coming from the tap in the hostel is brown and smells bad no one has responded yet,Hostel,High
my login is being used from another device and i never shared my password,IT / Portal,High
the library catalogue online is not updated with new arrivals,Library,Low
i cant register for finals because the system keeps showing an error kindly resolve this,IT / Portal,High
the university bus driver was driving very fast and it felt dangerous i need help with this,Transport,High
the admin office shared my personal information with someone outside the university please look into this,Administration,High
the bus driver was on his phone the entire journey no one has responded yet,Transport,High
someone keeps leaving offensive notes on my desk anonymously kindly resolve this,Harassment,Medium
hi the portal shows wrong grades for two of my subjects,IT / Portal,Medium
the portal doesnt send a confirmation when i submit assignments this needs to be fixed,IT / Portal,Low
urgent my exam registration was rejected with no reason and finals are next week,Administration,High
the washing machines in the hostel have been broken for a week kindly resolve this,Hostel,Medium
a self checkout machine would make borrowing books much faster please help,Library,Low
hi there are no anti harassment posters anywhere on campus,Harassment,Low
students are not informed when a bus trip is cancelled that day please look into this,Transport,Medium
more variety of books related to our new courses should be added this needs to be fixed,Library,Low
the lighting in some parts of the library is too dim kindly resolve this,Library,Low
we have had no teacher for this subject for the past 5 days,Academics / Faculty,Medium
the university should have more awareness sessions about bullying,Harassment,Low
the notice board in the hostel has very old information on it please look into this,Hostel,Low
the font on the portal is too small and hard to read please look into this,IT / Portal,Low
hi the book search system in the library is confusing to use,Library,Low
hi the notice board in the hostel has very old information on it,Hostel,Low
teacher hasnt returned our assignments for over a week please help,Academics / Faculty,Medium
the hostel canteen closes too early and night students go hungry this needs to be fixed,Hostel,Medium
the water coming from the tap in the hostel is brown and smells bad i need help with this,Hostel,High
the portal deleted my submitted assignment and now its showing not submitted it has been ignored for too long,IT / Portal,High
hi i received racist abuse from a classmate and when i reported it nothing happened,Harassment,High
a complaint or feedback option for transport would be useful this needs to be fixed,Transport,Low
hi i got locked out of my account and the reset email is not coming,IT / Portal,High
hi i submitted my assignment but the portal shows it as missing,IT / Portal,Medium
mold is growing on the walls of my hostel room and i have breathing problems no one has responded yet,Hostel,High
the bus is in very bad condition with broken seats and windows i need help with this,Transport,Medium
more storage space is needed in the hostel rooms kindly resolve this,Hostel,Low
the bus skips our stop sometimes without any explanation please look into this,Transport,Medium
we have had no teacher for this subject for the past 5 days please look into this,Academics / Faculty,Medium
a senior student has been threatening me and i am scared to come to campus it has been ignored for too long,Harassment,High
my login is being used from another device and i never shared my password i need help with this,IT / Portal,High
the bus driver doesnt announce stops so new students get confused kindly resolve this,Transport,Low
the book i need is always marked as available but i can never find it it has been ignored for too long,Library,Medium
some seniors talk down to juniors and it creates a bad environment,Harassment,Low
teacher is not available during office hours when students need help this needs to be fixed,Academics / Faculty,Medium
my entire semester grades disappeared from the portal after the update please look into this,IT / Portal,High
more variety of books related to our new courses should be added please help,Library,Low
there should be a dedicated quiet study area in the hostel please help,Hostel,Low
hi the meat served today smelled bad and looked discolored,Cafeteria / Food,High
hi the library should offer headphone rentals for students,Library,Low
the notice board at the admin block is never updated please look into this,Administration,Low
there is no water in the hostel since yesterday and we cant even wash no one has responded yet,Hostel,High
hi the cafeteria needs more seating especially during lunch time,Cafeteria / Food,Low
my entire semester grades disappeared from the portal after the update it has been ignored for too long,IT / Portal,High
my fee payment is confirmed but the system still shows outstanding balance it has been ignored for too long,Administration,Medium
hi the bus skips our stop sometimes without any explanation,Transport,Medium
an online appointment system would save a lot of time for students no one has responded yet,Administration,Low
the cafeteria menu should have more variety no one has responded yet,Cafeteria / Food,Low
my fee payment is confirmed but the system still shows outstanding balance this needs to be fixed,Administration,Medium
i was suspended from class without any warning or proper reason given this needs to be fixed,Academics / Faculty,High
a student was threatened by the driver when she complained about his driving this needs to be fixed,Transport,High
a female student was harassed by the van driver and she is scared it has been ignored for too long,Transport,High
there is toxic mold in the library reading room and students are coughing this needs to be fixed,Library,High
a student was threatened by the driver when she complained about his driving please look into this,Transport,High
the exam portal crashed during my online test and my answers were lost no one has responded yet,IT / Portal,High
the bus timings should be adjusted to match the late class schedules no one has responded yet,Transport,Low
there is no way to track the status of a complaint on the portal it has been ignored for too long,IT / Portal,Low
someone sent me threatening messages saying they will hurt me if i report them this needs to be fixed,Harassment,High
the trash area near the cafeteria is always messy kindly resolve this,Cafeteria / Food,Low
i was accused of cheating but i didnt cheat and no investigation was done it has been ignored for too long,Academics / Faculty,High
the library should offer headphone rentals for students this needs to be fixed,Library,Low
we have had no teacher for this subject for the past 5 days no one has responded yet,Academics / Faculty,Medium
the bus driver does not wait even 1 minute if students are slightly late kindly resolve this,Transport,Medium
the food being served is clearly expired the packaging dates were scratched off i need help with this,Cafeteria / Food,High
hi there should be a student support group for people who face bullying,Harassment,Low
we are being tested on topics that were never taught in class please help,Academics / Faculty,Medium
the bus left students stranded in the rain at night with no communication it has been ignored for too long,Transport,High
i have a disability and was denied extra time in the exam without reason please look into this,Academics / Faculty,High
hi a classmate records me during lectures without my knowledge or permission,Harassment,Medium
a bicycle parking area near the bus stop would be convenient it has been ignored for too long,Transport,Low
a classmate keeps making fun of me in front of everyone and it wont stop no one has responded yet,Harassment,Medium
it would be helpful if the portal showed assignment deadlines on the home page this needs to be fixed,IT / Portal,Low
name correction request submitted 10 days ago and no update yet kindly resolve this,Administration,Medium
the library has had no electricity for 2 days and all digital access is gone i need help with this,Library,High
more power sockets are needed in the hostel rooms i need help with this,Hostel,Low
urgent i was beaten by three students near the hostel and security did nothing,Harassment,High
library staff are not helpful when students ask for assistance finding books it has been ignored for too long,Library,Medium
same food is being served every day for the past week i need help with this,Cafeteria / Food,Medium
my assignment marks were given to the wrong student in the system,Academics / Faculty,High
bus arrives 40 minutes late every single day i need help with this,Transport,Medium
a classmate makes rude comments about my background every day kindly resolve this,Harassment,Medium
the library should offer headphone rentals for students please help,Library,Low
the transport service was completely cancelled today with no notice kindly resolve this,Transport,High
nutritional information should be displayed for each meal it has been ignored for too long,Cafeteria / Food,Low
there is no way to track the status of a complaint on the portal please help,IT / Portal,Low
there is no clear information on campus about where to go if harassed this needs to be fixed,Harassment,Low
a small study table in each hostel room would be very helpful this needs to be fixed,Hostel,Low
there are not enough buses for students with late evening classes kindly resolve this,Transport,Medium
i enrolled in the wrong section by mistake and cant change it this needs to be fixed,IT / Portal,Medium
lecture slides are uploaded after the class not before which is not helpful please help,Academics / Faculty,Medium
hi the library was locked during announced open hours and students had no access,Library,High
hi there was a small fire near the library electrical board and no one responded,Library,High
the hostel generator doesnt turn on during load shedding please look into this,Hostel,Medium
the queue at the admin office is very disorganized,Administration,Low
some seniors talk down to juniors and it creates a bad environment it has been ignored for too long,Harassment,Low
a teacher made inappropriate comments about my appearance in front of the class please help,Harassment,High
the food in the cafeteria smells rotten and students are still being served it kindly resolve this,Cafeteria / Food,High
search on the portal is not useful it never finds what i need i need help with this,IT / Portal,Low
the syllabus was never shared at the start of the semester kindly resolve this,Academics / Faculty,Medium
some students use offensive language in class and it makes me uncomfortable it has been ignored for too long,Harassment,Low
hi it would help if bus cancellations were announced on the portal,Transport,Low
a group of students physically pushed me near the parking area it has been ignored for too long,Harassment,High
it would help if admin sent updates when documents are ready for pickup no one has responded yet,Administration,Low
a teacher threatened to fail me if i told anyone what he said to me kindly resolve this,Harassment,High
the driver drives through red signals and students are scared to speak up please help,Transport,High
there is toxic mold in the library reading room and students are coughing it has been ignored for too long,Library,High
the portal deleted my submitted assignment and now its showing not submitted kindly resolve this,IT / Portal,High
hi extra bus trips should be added during exams,Transport,Low
there are not enough buses for students with late evening classes i need help with this,Transport,Medium
urgent the bus was so overcrowded a student fell and got injured,Transport,High
some students make inappropriate jokes in class and the teacher ignores it please help,Harassment,Low
the library roof is leaking badly and water is falling on books and computers i need help with this,Library,High
library should stay open later during exams i need help with this,Library,Low
more storage space is needed in the hostel rooms it has been ignored for too long,Hostel,Low
more power sockets are needed in the hostel rooms,Hostel,Low
same food is being served every day for the past week this needs to be fixed,Cafeteria / Food,Medium
hi there is no clear information on campus about where to go if harassed,Harassment,Low
the bus timings should be adjusted to match the late class schedules it has been ignored for too long,Transport,Low
there should be a dedicated quiet study area in the hostel no one has responded yet,Hostel,Low
the meat served today smelled bad and looked discolored i need help with this,Cafeteria / Food,High
my grade was changed without any reason and i never received an explanation please look into this,Academics / Faculty,High
the hostel entrance light is broken and it gets dark at night please look into this,Hostel,Low
the teacher changes the quiz date without telling everyone it has been ignored for too long,Academics / Faculty,Medium
the brakes of the university van made a loud noise and felt like they failed it has been ignored for too long,Transport,High
the library was locked during announced open hours and students had no access kindly resolve this,Library,High
ac in the university bus has not worked for a week kindly resolve this,Transport,Medium
some students make inappropriate jokes in class and the teacher ignores it kindly resolve this,Harassment,Low
teacher gives assignments without clear instructions on what is expected kindly resolve this,Academics / Faculty,Low
my grade was changed without any reason and i never received an explanation please help,Academics / Faculty,High
a grab and go option would be useful for students between classes kindly resolve this,Cafeteria / Food,Low
hi a student collapsed in the hostel and there was no first aid available,Hostel,High
the bus should have a designated seat for students with disabilities i need help with this,Transport,Low
i received racist abuse from a classmate and when i reported it nothing happened please help,Harassment,High
hi the wrong exam was given to our class and our result is now in question,Academics / Faculty,High
hi the canteen should offer a student discount card,Cafeteria / Food,Low
the portal should let us download our timetable as a pdf i need help with this,IT / Portal,Low
the cooking area in the canteen has visible mold and is never cleaned it has been ignored for too long,Cafeteria / Food,High
it would help if teacher gave feedback on assignments not just a grade this needs to be fixed,Academics / Faculty,Low
i want to know what the university policy is if someone harasses a student it has been ignored for too long,Harassment,Low
the deadline for document submission was not announced and i missed it,Administration,Medium
teacher uses very old examples that are not relevant to current topics urgent,Academics / Faculty,Low
my roommate in the hostel is constantly harassing me and the warden ignores it it has been ignored for too long,Harassment,Medium
my scholarship money has not arrived for 2 months and i cant pay rent please look into this,Administration,High
the waiting area in the admin office has no chairs this needs to be fixed,Administration,Low
the syllabus was never shared at the start of the semester it has been ignored for too long,Academics / Faculty,Medium
hi teacher should use more examples to explain difficult topics,Academics / Faculty,Low
a student fainted in the library due to heat and no staff came to help please look into this,Library,High
nutritional information should be displayed for each meal this needs to be fixed,Cafeteria / Food,Low
urgent the system wrongly submitted an empty file instead of my actual assignment,IT / Portal,High
the warden is never available when we have a complaint,Hostel,Medium
a teacher made inappropriate comments about my appearance in front of the class this needs to be fixed,Harassment,High
my account got hacked and someone changed my password i cant login,IT / Portal,High
there is no way to track the status of a complaint on the portal kindly resolve this,IT / Portal,Low
a student fainted in the library due to heat and no staff came to help,Library,High
the syllabus was never shared at the start of the semester i need help with this,Academics / Faculty,Medium
a senior student keeps pressuring me to do things i am not comfortable with please help,Harassment,Medium
the hostel canteen closes too early and night students go hungry,Hostel,Medium
lecture slides are uploaded after the class not before which is not helpful i need help with this,Academics / Faculty,Medium
the warden is never available when we have a complaint please look into this,Hostel,Medium
the library was locked during announced open hours and students had no access,Library,High
a student collapsed in the hostel and there was no first aid available no one has responded yet,Hostel,High
my grade correction request has been pending for over a week please look into this,Administration,Medium
my exam registration was rejected with no reason and finals are next week this needs to be fixed,Administration,High
